Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.20     0.00  2359301     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_allocate(unsigned long)
  0.00      1.20     0.00  2359301     0.00     0.00  std::allocator_traits<std::allocator<std::vector<double, std::allocator<double> > > >::deallocate(std::allocator<std::vector<double, std::allocator<double> > >&, std::vector<double, std::allocator<double> >*, unsigned long)
  0.00      1.20     0.00  2359300     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::vector<double, std::allocator<double> > >, std::vector<double, std::allocator<double> > >::_S_select_on_copy(std::allocator<std::vector<double, std::allocator<double> > > const&)
  0.00      1.20     0.00  2359300     0.00     0.00  Filter::get_kernel() const
  0.00      1.20     0.00  2359300     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::begin() const
  0.00      1.20     0.00  2359300     0.00     0.00  std::allocator_traits<std::allocator<std::vector<double, std::allocator<double> > > >::select_on_container_copy_construction(std::allocator<std::vector<double, std::allocator<double> > > const&)
  0.00      1.20     0.00  2359300     0.00     0.00  std::vector<double, std::allocator<double> >* std::uninitialized_copy<__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> >*>(__gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> > const*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >, std::vector<double, std::allocator<double> >*)
  0.00      1.20     0.00  2359297     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00      1.20     0.00  2359296     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      1.20     0.00   782092     0.00     0.00  stbi__zhuffman_decode(stbi__zbuf*, stbi__zhuffman*)
  0.00      1.20     0.00   706544     0.00     0.00  stbi__zeof(stbi__zbuf*)
  0.00      1.20     0.00   473758     0.00     0.00  stbi__zget8(stbi__zbuf*)
  0.00      1.20     0.00   377343     0.00     0.00  stbiw__paeth(int, int, int)
  0.00      1.20     0.00   374481     0.00     0.00  stbiw__zlib_countm(unsigned char*, unsigned char*, int)
  0.00      1.20     0.00   262144     0.00     0.00  Filter::get_negval() const
  0.00      1.20     0.00   255338     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.00      1.20     0.00   213934     0.00     0.00  stbiw__zlib_bitrev(int, int)
  0.00      1.20     0.00   164352     0.00     0.00  stbi__paeth(int, int, int)
  0.00      1.20     0.00    52840     0.00     0.00  stbiw__sbgrowf(void**, int, int)
  0.00      1.20     0.00    21170     0.00     0.00  stbi__bit_reverse(int, int)
  0.00      1.20     0.00    21170     0.00     0.00  stbi__bitreverse16(int)
  0.00      1.20     0.00    19628     0.00     0.00  stbi__zhuffman_decode_slowpath(stbi__zbuf*, stbi__zhuffman*)
  0.00      1.20     0.00    16392     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::__normal_iterator(unsigned char const* const&)
  0.00      1.20     0.00    16392     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >::base() const
  0.00      1.20     0.00    16392     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      1.20     0.00    16392     0.00     0.00  unsigned char const* std::__niter_base<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >)
  0.00      1.20     0.00    14864     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator()
  0.00      1.20     0.00    13332     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::~new_allocator()
  0.00      1.20     0.00    13332     0.00     0.00  std::allocator<unsigned char>::~allocator()
  0.00      1.20     0.00    13328     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::new_allocator(__gnu_cxx::new_allocator<unsigned char> const&)
  0.00      1.20     0.00    13328     0.00     0.00  std::allocator<unsigned char>::allocator(std::allocator<unsigned char> const&)
  0.00      1.20     0.00    13320     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >* std::__addressof<std::vector<unsigned char, std::allocator<unsigned char> > >(std::vector<unsigned char, std::allocator<unsigned char> >&)
  0.00      1.20     0.00     9735     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::size() const
  0.00      1.20     0.00     9244     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<unsigned char, std::allocator<unsigned char> > const*, std::vector<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > > > >::base() const
  0.00      1.20     0.00     8196     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::end() const
  0.00      1.20     0.00     8196     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::begin() const
  0.00      1.20     0.00     8196     0.00     0.00  unsigned char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned char>(unsigned char const*, unsigned char const*, unsigned char*)
  0.00      1.20     0.00     8196     0.00     0.00  unsigned char* std::__copy_move_a<false, unsigned char const*, unsigned char*>(unsigned char const*, unsigned char const*, unsigned char*)
  0.00      1.20     0.00     6668     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::max_size() const
  0.00      1.20     0.00     6664     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::deallocate(unsigned char*, unsigned long)
  0.00      1.20     0.00     6664     0.00     0.00  __gnu_cxx::new_allocator<unsigned char>::allocate(unsigned long, void const*)
  0.00      1.20     0.00     6664     0.00     0.00  void std::_Destroy_aux<true>::__destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_allocate(unsigned long)
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::_Vector_impl(std::allocator<unsigned char> const&)
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl::~_Vector_impl()
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_deallocate(unsigned char*, unsigned long)
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_create_storage(unsigned long)
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_impl_data::_Vector_impl_data()
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_Vector_base(unsigned long, std::allocator<unsigned char> const&)
  0.00      1.20     0.00     6664     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::~_Vector_base()
  0.00      1.20     0.00     6664     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::deallocate(std::allocator<unsigned char>&, unsigned char*, unsigned long)
  0.00      1.20     0.00     6664     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::allocate(std::allocator<unsigned char>&, unsigned long)
  0.00      1.20     0.00     6664     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::~vector()
  0.00      1.20     0.00     6664     0.00     0.00  unsigned char* std::__niter_base<unsigned char*>(unsigned char*)
  0.00      1.20     0.00     6664     0.00     0.00  unsigned char* std::__niter_wrap<unsigned char*>(unsigned char* const&, unsigned char*)
  0.00      1.20     0.00     6664     0.00     0.00  void std::_Destroy<unsigned char*>(unsigned char*, unsigned char*)
  0.00      1.20     0.00     6664     0.00     0.00  void std::_Destroy<unsigned char*, unsigned char>(unsigned char*, unsigned char*, std::allocator<unsigned char>&)
  0.00      1.20     0.00     6660     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<unsigned char>, unsigned char>::_S_select_on_copy(std::allocator<unsigned char> const&)
  0.00      1.20     0.00     6660     0.00     0.00  std::_Vector_base<unsigned char, std::allocator<unsigned char> >::_M_get_Tp_allocator() const
  0.00      1.20     0.00     6660     0.00     0.00  std::allocator_traits<std::allocator<unsigned char> >::select_on_container_copy_construction(std::allocator<unsigned char> const&)
  0.00      1.20     0.00     6660     0.00     0.00  unsigned char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*>(__gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, __gnu_cxx::__normal_iterator<unsigned char const*, std::vector<unsigned char, std::allocator<unsigned char> > >, unsigned char*)
  0.00      1.20     0.00     6660     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::vector(std::vector<unsigned char, std::allocator<unsigned char> > const&)
